cabang_olahraga,tahun,bulan,jenis_kelamin,jenis_pertandingan,tingkat,medali,kategori
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
tenis,2020,2,,perorangan,kota,,olahraga prestasi
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putra,beregu,kota,,olahraga masyarakat
voli,2020,3,putri,beregu,kota,,olahraga masyarakat
voli,2020,3,putri,beregu,kota,,olahraga masyarakat
voli,2020,3,putri,beregu,kota,,olahraga masyarakat
voli,2020,3,putri,beregu,kota,,olahraga masyarakat
voli,2020,3,putri,beregu,kota,,olahraga masyarakat
voli,2020,3,putri,beregu,kota,,olahraga masyarakat
